Symbol,Name,Exchange,"1Y Return%","3Y Return%",Last,"20D Rel Str","20D %R"
ABCD,"Cambium Learning Grp",NASDAQ,144.72%,137.35%,11.9,60.79%,23.78%
ABEO,"Abeona Therapeutics",NASDAQ,58.10%,144.39%,13.95,39.30%,98.51%
ABR,"Arbor Realty Trust",NYSE,42.61%,69.77%,11.22,68.82%,28.41%
ACCO,"Acco Brands Corp",NYSE,17.99%,88.76%,14.25,60.35%,28.30%
ACMR,"Acm Research Inc",NASDAQ,105.29%,105.29%,12.36,52.95%,26.24%
AGMH,"Agm Group Holdings Inc. Class A",NASDAQ,173.97%,173.97%,17.15,48.80%,95.58%
AGYS,"Agilysys Inc",NASDAQ,54.22%,73.05%,16.43,70.64%,20.90%
AHH,"Armada Hoffler Properties Inc",NYSE,14.08%,46.17%,15.08,55.11%,57.00%
AKTS,"Akoustis Technologies Inc",NASDAQ,18.37%,85.97%,9.22,72.58%,9.79%
ALNA,"Allena Pharmaceuticals Inc",NASDAQ,13.03%,13.03%,10.95,32.44%,94.87%
ALOT,"Astronova Inc",NASDAQ,34.31%,30.96%,18.3,45.40%,80.77%
AMBO,"Ambow Education Holding Ltd",AMEX,54.22%,285.56%,6.84,60.49%,22.76%
AMD,"Adv Micro Devices",NASDAQ,25.15%,837.22%,16.85,62.97%,10.81%
AMRC,"Ameresco Inc",NYSE,82.39%,87.14%,12.85,56.79%,46.81%
AMSWA,"Amer Software Inc",NASDAQ,55.74%,60.89%,15.75,60.99%,34.83%
ANGI,"Homeservices Inc",NASDAQ,28.92%,172.80%,16.57,63.29%,19.05%
APLS,"Apellis Pharmaceuticals Inc",NASDAQ,30.86%,30.86%,18.35,37.84%,88.78%
AQ,"Aquantia Corp",NYSE,31.44%,31.44%,13.1,56.37%,26.75%
ARL,"American Realty Investors",NYSE,102.46%,279.12%,17.49,56.90%,12.38%
ARQL,"Arqule Inc",NASDAQ,308.66%,183.61%,5.12,50.22%,75.72%
ARRY,"Array Biopharma Inc",NASDAQ,100.71%,151.25%,16.89,48.12%,77.93%
ARWR,"Arrowhead Pharma",NASDAQ,975.16%,147.00%,16.67,73.35%,11.16%
ASLN,"Aslan Pharmaceuticals Limited ADR",NASDAQ,32.98%,32.98%,8.07,52.65%,55.78%
ASUR,"Asure Software",NASDAQ,14.57%,156.19%,15.9,44.10%,74.04%
ATHX,"Athersys Inc",NASDAQ,24.69%,75.65%,2,43.59%,43.40%
AUDC,"Audiocodes Ltd",NASDAQ,20.77%,164.31%,7.92,60.65%,18.42%
AUY,"Yamana Gold",NYSE,14.34%,35.38%,2.84,44.00%,91.89%
AXAS,"Abraxas Petro Corp",NASDAQ,78.62%,31.48%,2.85,52.35%,56.72%
AXTI,"Axt Inc",NASDAQ,19.72%,251.24%,8.7,65.52%,4.65%
BBX,"Bbx Capital Corp",NYSE,39.21%,156.23%,8.9,44.52%,85.29%
BCOV,"Brightcove Inc",NASDAQ,48.06%,49.22%,9.55,47.18%,82.35%
BCTF,"Bancorp 34 Inc",NASDAQ,12.46%,76.44%,15.8,53.00%,30.48%
BDR,"Blonder Tongue Laboratories",AMEX,134.48%,47.83%,1.47,59.30%,26.56%
BEDU,"Bright Scholar Education Holdings Ltd",NYSE,22.69%,21.87%,16.52,48.58%,57.02%
BFIN,"Bankfinancial Corpor",NASDAQ,16.11%,44.97%,17.49,42.78%,88.79%
BILI,"Bilibili Inc. ADR",NASDAQ,21.80%,21.80%,14.43,49.19%,75.22%
BLDR,"Builders Firstsource",NASDAQ,15.73%,40.71%,18.29,45.68%,68.14%
BMRA,"Biomerica Inc",NASDAQ,52.06%,422.93%,4,53.61%,36.36%
BNCL,"Beneficial Bancorp",NASDAQ,10.14%,26.26%,16.2,45.19%,80.00%
BNSO,"Bonso Elec Intl In",NASDAQ,38.06%,172.06%,3.77,60.69%,72.99%
BOCH,"Bank of Commerce Hld",NASDAQ,16.98%,115.28%,12.25,48.93%,70.00%
BOSC,"Bos Better Online",NASDAQ,27.86%,14.22%,2.58,62.87%,30.30%
BREW,"Craft Brew Alliance",NASDAQ,12.00%,77.70%,19.55,43.75%,82.86%
BRKL,"Brookline Bancorp",NASDAQ,26.46%,57.80%,18.55,51.52%,66.67%
BRT,"BRT Realty Trust",NYSE,82.56%,95.75%,13.9,63.78%,20.55%
BSM,"Black Stone Minerals LP",NYSE,11.87%,15.26%,17.76,41.84%,90.58%
BVX,"Bovie Medical Corp",AMEX,104.00%,131.82%,5.11,66.72%,21.84%
CADC,"China Advanced Const",NASDAQ,178.26%,84.44%,5.9,55.15%,70.49%
CALI,"China Auto Logistics",NASDAQ,15.05%,117.43%,2.37,45.63%,88.26%
CALL,"Magicjack Vocaltec L",NASDAQ,17.83%,18.33%,8.43,43.18%,87.50%
CAMT,"Camtek Ltd",NASDAQ,43.12%,172.73%,7.97,55.09%,10.47%
CARA,"Cara Therapeutics",NASDAQ,42.57%,39.63%,19.82,58.61%,37.60%
CASI,"Casi Phrmactcls Inc",NASDAQ,560.00%,332.14%,7.21,52.73%,36.73%
CASM,"Cas Medical Sys Inc",NASDAQ,69.23%,55.91%,1.96,57.59%,22.22%
CBAN,"Colony Bankcorp Inc",NASDAQ,27.80%,96.45%,17.7,58.79%,18.92%
CBAY,"Cymabay Therapeutics",NASDAQ,93.80%,431.62%,12.9,46.75%,88.98%
CCXI,"Chemocentryx Inc",NASDAQ,27.70%,43.81%,12.46,48.12%,63.86%
CDNA,"Caredx Inc",NASDAQ,836.57%,82.15%,12.54,48.61%,60.25%
CDXC,"Chromadex Corp CS",NASDAQ,20.00%,32.71%,4.27,55.36%,32.58%
CDXS,"Codexis Inc",NASDAQ,182.88%,285.75%,15.75,58.06%,30.43%
CECO,"Career Education",NASDAQ,96.26%,438.71%,18.73,79.97%,0.72%
CELH,"Celsius Holdings Inc",NASDAQ,13.73%,106.22%,4.61,46.52%,63.33%
CEMI,"Chembio Diagnostics",NASDAQ,84.30%,128.02%,11.15,73.76%,4.55%
CERS,"Cerus Corp",NASDAQ,227.88%,28.87%,7.35,62.40%,19.61%
CFBK,"Central Fed Cp",NASDAQ,15.18%,85.61%,2.57,61.77%,11.43%
CIFS,"China Internet Nationwide Financial Services Inc",NASDAQ,26.26%,26.26%,15.49,36.22%,49.07%
CISN,"Cision Ltd",NYSE,51.31%,68.08%,16.34,63.24%,4.48%
CLF,"Cleveland-Cliffs Inc",NYSE,13.54%,196.15%,8.77,56.14%,35.92%
CLPS,"Clps Incorporation",NASDAQ,162.98%,162.98%,14.21,63.28%,43.49%
CLUB,"Town Sports Internat",NASDAQ,215.73%,450.98%,13.65,59.16%,33.33%
CLWT,"Euro Tech Hldg",NASDAQ,38.81%,74.81%,4.41,49.50%,64.78%
CLXT,"Calyxt Inc",NASDAQ,57.78%,57.78%,17.67,45.37%,87.57%
CMCL,"Caledonia Mining Cp",AMEX,34.79%,165.85%,8.68,50.46%,12.24%
CNDT,"Conduent Inc",NYSE,12.58%,34.40%,18.5,44.87%,68.84%
CNTY,"Century Casinos In",NASDAQ,10.01%,30.24%,8.56,49.50%,67.19%
CNX,"CNX Resources Corp",NYSE,31.69%,23.31%,17.04,50.76%,81.10%
CORT,"Corcept Therapeutics",NASDAQ,12.01%,164.76%,13.61,33.03%,96.95%
COT,"Cott Corp",NYSE,15.38%,57.16%,16.77,58.28%,31.18%
CPHC,"Canterbury Park Hl",NASDAQ,33.33%,40.71%,15,45.99%,69.20%
CRD.A,"Crawford Co Cl A",NYSE,13.38%,17.34%,8.43,53.32%,56.72%
CRK,"Comstock Resources",NYSE,68.79%,41.74%,11.56,60.68%,28.79%
CRNT,"Ceragon Networks Ltd",NASDAQ,38.40%,200.83%,3.79,59.11%,32.26%
CRON,"Cronos Group Inc",NASDAQ,274.05%,"1,780.43%",6.78,49.29%,65.84%
CROX,"Crocs Inc",NASDAQ,130.59%,20.67%,17.69,52.98%,52.98%
CSBR,"Champions Oncolog",NASDAQ,185.16%,14.78%,8.26,72.13%,5.20%
CSTM,"Constellium N.V.",NYSE,35.15%,12.74%,11.5,52.13%,28.24%
CTSO,"Cytosorbents Cor",NASDAQ,119.09%,83.41%,11.85,56.59%,32.69%
CTT,"Catchmark Timber Trust Inc",NYSE,12.69%,13.18%,12.78,48.85%,37.68%
CVEO,"Civeo Corp",NYSE,106.13%,82.08%,4.3,54.95%,43.31%
CWBC,"Community West Bncsh",NASDAQ,16.63%,78.73%,11.95,57.96%,15.38%
CWBR,"Cohbar Inc",NASDAQ,180.34%,454.89%,5.59,39.00%,96.24%
CY,"Cypress Semiconductr",NASDAQ,16.34%,45.96%,17.01,54.92%,29.84%
CYRN,"Cyren Ltd",NASDAQ,45.00%,42.16%,2.95,56.69%,0.00%
CYRX,"Cryoport Inc",NASDAQ,166.84%,152.17%,15.15,58.80%,61.57%
CZZ,"Cosan Ltd",NYSE,16.83%,69.96%,8.2,47.61%,12.43%
DAR,"Darling International Inc",NYSE,21.59%,47.16%,19.74,56.02%,72.25%
DDE,"Dover Downs Gaming & Entertainment Inc",NYSE,70.43%,110.75%,1.99,61.22%,13.46%
DENN,"Dennys Corp",NASDAQ,37.57%,34.39%,15.95,50.85%,61.21%
DGII,"Digi Intl Inc",NASDAQ,35.50%,36.32%,13.65,58.95%,60.00%
DNJR,"Golden Bull Limited Ordinary Shares",NASDAQ,64.29%,64.29%,7.6,62.58%,2.56%
DS,"Drive Shack Inc",NYSE,139.34%,78.48%,7.19,52.06%,92.55%
DSS,"Document Security Systems",AMEX,98.57%,57.95%,1.36,50.88%,50.00%
DSWL,"Deswell Inds Inc",NASDAQ,46.38%,87.98%,3.38,57.18%,28.95%
DWCH,"Datawatch Cp",NASDAQ,25.27%,83.18%,11.3,71.00%,12.20%
DWSN,"Dawson Geophscl",NASDAQ,100.77%,77.90%,7.79,52.40%,49.19%
DXF,"Dunxin Financial Holdings Ltd.",AMEX,36.89%,32.47%,6.02,53.10%,24.76%
EAF,"Graftech International Ltd.",NYSE,19.65%,19.65%,18.05,50.79%,58.41%
EBSB,"Meridian Bncp",NASDAQ,13.86%,41.26%,18.95,41.05%,93.10%
ECA,"Encana Corp",NYSE,36.84%,48.40%,12.96,51.96%,41.03%
ECOM,"Channeladvisor Corp",NYSE,36.20%,33.66%,14.9,55.80%,36.36%
ECYT,"Endocyte Inc",NASDAQ,"1,100.71%",214.68%,16.8,63.77%,18.22%
EFBI,"Eagle Financial Bancorp Inc",NASDAQ,10.34%,10.34%,16.02,49.35%,74.14%
EGAN,"Egain Corp",NASDAQ,673.61%,196.28%,13.2,49.31%,84.17%
EGY,"Vaalco Energy Inc",NYSE,243.33%,89.57%,3.01,59.53%,36.63%
ELON,"Echelon Corp",NASDAQ,67.20%,29.84%,8.3,85.48%,1.66%
ELVT,"Elevate Credit Inc",NYSE,16.11%,29.12%,10.16,63.73%,35.92%
ELY,"Callaway Golf Company",NYSE,48.46%,118.37%,18.83,47.18%,82.57%
EMX,"Emx Royalty Group",AMEX,11.41%,127.78%,1.12,55.81%,29.41%
ENBL,"Enable Midstream Partners LP",NYSE,11.45%,30.48%,18.43,66.96%,4.42%
EPM,"Evolution Petroleum Corp",AMEX,38.99%,89.21%,11.15,60.00%,36.96%
ERF,"Enerplus Corp",NYSE,53.46%,76.89%,12.93,54.67%,27.86%
ESIO,"Electro Sci Inds",NASDAQ,110.25%,285.53%,18.42,54.06%,0.95%
EXPI,"Exp Realty Internati",NASDAQ,281.85%,"1,293.75%",12.15,45.92%,47.72%
EZPW,"Ezcorp Inc",NASDAQ,49.68%,84.17%,11.65,40.74%,96.92%
FATE,"Fate Therapeutics",NASDAQ,283.28%,65.11%,11.03,45.16%,88.96%
FBP,"First Bancorp",NYSE,33.11%,69.46%,7.96,56.56%,30.19%
FBR,"Fibria Celulose S.A.",NYSE,73.00%,47.11%,19.02,52.42%,27.00%
FCAU,"Fiat Chrysler Automobiles N.V.",NYSE,64.33%,27.15%,19.43,42.75%,50.87%
FCF,"First Commonwealth Financial Corp",NYSE,22.53%,62.70%,16.05,55.31%,32.28%
FCX,"Freeport-Mcmoran Inc",NYSE,29.00%,11.43%,17.08,50.06%,39.44%
FFWM,"First Foundation",NASDAQ,12.82%,86.94%,18.79,44.33%,82.94%
FLL,"Full House Rsts",NASDAQ,31.98%,92.90%,3.34,51.11%,29.03%
FLWS,1-800-Flowers.Com,NASDAQ,32.29%,18.69%,12.6,46.60%,70.00%
FMNB,"Farmers Natl Banc Cp",NASDAQ,10.65%,99.26%,16.25,53.49%,57.14%
FNJN,"Finjan Holdings",NASDAQ,46.85%,256.93%,4.71,75.11%,17.14%
FNKO,"Funko Inc Class A",NASDAQ,120.65%,120.65%,16.32,73.71%,29.72%
FORD,"Forward Inds Inc",NASDAQ,61.68%,166.15%,1.74,54.40%,75.76%
FRBA,"First Bank",NASDAQ,18.52%,137.62%,14.4,58.33%,23.33%
FRD,"Friedman Industries Inc",AMEX,66.24%,52.01%,9.2,71.74%,25.25%
FSBC,"Fsb Community Bnksh",NASDAQ,16.67%,103.49%,17.5,50.39%,45.45%
FSM,"Fortuna Silver Mines",NYSE,11.75%,100.74%,5.46,44.67%,88.89%
FTNW,"Fte Networks Inc",AMEX,32.22%,257.00%,17.5,44.05%,81.13%
FUNC,"First United Corp",NASDAQ,27.56%,131.14%,19.3,40.50%,94.32%
GAIN,"Gladstone Investment",NASDAQ,25.53%,44.85%,12.12,61.66%,5.66%
GALT,"Galectin Therapeutic",NASDAQ,163.32%,128.41%,6.02,48.56%,93.13%
GBR,"New Concept Energy Inc",AMEX,155.47%,139.73%,3.2,52.65%,83.55%
GFN,"General Finance Corp",NASDAQ,181.25%,167.33%,13.75,66.70%,15.09%
GGB,"Gerdau S.A.",NYSE,22.42%,116.15%,4.2,55.73%,6.70%
GHG,"Greentree Hospitality Group Ltd. ADR",NYSE,33.54%,33.54%,17.14,46.18%,87.50%
GILT,"Gilat Satellite Ntwk",NASDAQ,61.71%,56.32%,8.76,50.93%,72.97%
GLMD,"Galmed Pharmaceutica",NASDAQ,125.50%,39.28%,14.01,59.22%,32.17%
GLYC,"Glycomimetics Inc",NASDAQ,43.54%,115.50%,15.91,45.03%,44.08%
GNPX,"Genprex Inc",NASDAQ,59.15%,59.15%,7.39,43.40%,76.46%
GOL,"Gol Linhas Aereas Inteligentes S.A.",NYSE,10.52%,74.87%,6.82,52.16%,11.56%
GORO,"Gold Resource Corp",AMEX,66.97%,261.50%,7.15,63.35%,19.35%
GPRK,"Geopark Hldgs Lmtd",NYSE,106.40%,374.02%,19.17,53.09%,82.62%
GTE,"Gran Tierra Energy Inc",AMEX,57.92%,51.74%,3.43,53.53%,37.63%
GTXI,"GTX Inc",NASDAQ,171.50%,14.48%,15.46,40.08%,76.89%
HCCI,Heritage-Crystal,NASDAQ,19.12%,39.91%,19.15,40.25%,82.35%
HFBC,"Hopfed Bancorp Inc",NASDAQ,12.63%,33.75%,16.35,54.75%,24.14%
HIHO,"Highway Hldgs Ltd",NASDAQ,13.51%,18.75%,4.35,41.55%,89.47%
HMG,"Hmg/Courtland Properties",AMEX,24.93%,15.67%,14.06,49.49%,54.65%
HMTA,"Hometown Bankshares",NASDAQ,30.45%,97.89%,14.05,55.58%,58.78%
HPE,"Hewlett Packard Enterprise Comp",NYSE,17.79%,85.98%,15.93,53.77%,3.92%
HTBK,"Heritage Commerce",NASDAQ,21.81%,67.26%,17.01,47.98%,65.20%
I,"Intelsat S.A.",NYSE,574.92%,143.43%,18.81,56.93%,45.10%
IAG,"Iamgold Corp",NYSE,12.91%,334.07%,5.88,50.57%,49.55%
IEC,"IEC Electronics",AMEX,43.01%,35.84%,5.61,46.09%,79.17%
IGC,"India Globalization Capital Inc",AMEX,23.29%,25.00%,0.45,31.95%,84.62%
IMMR,"Immersion Corp",NASDAQ,78.21%,28.22%,15.47,53.00%,58.26%
IMV,"Imv Inc.",NASDAQ,43.17%,49.43%,4.67,37.76%,78.75%
INFY,"Infosys Ltd",NYSE,27.97%,26.19%,19.68,58.67%,21.03%
INS,"Intelligent Systems Corp",AMEX,165.76%,233.79%,10.8,71.38%,3.57%
IOR,"Income Opportunity Realty Trust",AMEX,37.68%,79.18%,12.84,45.69%,66.20%
IOVA,"Iovance Biotherapeutics Inc",NASDAQ,127.56%,44.79%,14.3,53.05%,14.29%
IRDM,"Iridium Comm Inc",NASDAQ,68.52%,124.97%,17.9,64.69%,22.81%
IRWD,"Ironwood Pharmaceuti",NASDAQ,12.19%,88.46%,19.9,55.62%,44.22%
ISNS,"Image Sensing Syst",NASDAQ,12.99%,12.11%,4.35,56.84%,12.50%
JCTCF,"Jewett-Cameron Trd",NASDAQ,23.28%,54.21%,8,52.57%,45.45%
JP,"Jupai Holdings Ltd",NYSE,106.15%,64.92%,16.78,34.91%,77.13%
KIN,"Kindred Biosciences",NASDAQ,63.52%,86.48%,12.5,69.60%,4.92%
KONE,"Kingtone Wirelessinf",NASDAQ,70.62%,17.17%,6.34,40.69%,89.79%
KOS,"Kosmos Energy Ltd",NYSE,30.10%,15.23%,8.16,52.02%,54.36%
KRYS,"Krystal Biotech Inc",NASDAQ,67.67%,67.67%,18.41,76.27%,0.00%
LAC,"Lithium Americas Corp",NYSE,39.54%,120.04%,4.99,41.08%,97.56%
LFGR,"Leaf Group Ltd",NYSE,52.32%,95.58%,11.45,62.59%,21.43%
LFVN,"Lifevantage Cp",NASDAQ,150.63%,180.11%,10.45,93.35%,7.86%
LGL,"LGL Group",AMEX,14.66%,26.97%,5.27,48.26%,41.38%
LIND,"Lindblad Expd Hld",NASDAQ,35.89%,28.10%,13.6,64.92%,9.24%
LLNW,"Limelight Networks",NASDAQ,48.14%,20.76%,4.73,46.13%,53.01%
LMST,"Limestone Bancorp Inc.",NASDAQ,63.16%,108.89%,16.94,71.57%,20.88%
LOAN,"Manhattan Bridge",NASDAQ,27.19%,75.97%,7.05,42.18%,95.00%
LONE,"Lonestar Resources US Inc",NASDAQ,173.63%,49.77%,10.37,76.59%,4.56%
LOOP,"Loop Industries Inc",NASDAQ,30.55%,112.80%,10,39.06%,92.11%
LRAD,"Lrad Corp",NASDAQ,66.86%,52.88%,2.89,73.62%,13.24%
LTRX,"Lantronix Inc",NASDAQ,28.05%,82.58%,2.77,51.15%,42.42%
LTS,"Ladenburg Thalmann Financial Inc",AMEX,46.47%,10.31%,3.51,47.78%,60.47%
LUNA,"Luna Innovations Inc",NASDAQ,159.26%,239.81%,3.53,64.22%,7.46%
LXFR,"Luxfer Holdings Plc",NYSE,44.92%,45.60%,18.92,66.83%,2.76%
MAMS,"Mam Software Gp",NASDAQ,19.57%,53.92%,8.35,46.60%,48.58%
MBTF,"Mbt Financial Corp",NASDAQ,14.87%,91.78%,11.2,57.72%,32.00%
MCBC,"Macatawa Bank Corp",NASDAQ,33.48%,124.00%,12.38,54.05%,65.85%
MEIP,"Mei Pharma Inc",NASDAQ,40.53%,147.37%,3.99,50.68%,76.44%
MELR,"Melrose Bancorp",NASDAQ,10.77%,36.46%,19.65,49.20%,58.33%
MERC,"Mercer Intl Inc",NASDAQ,48.54%,36.43%,17.7,64.64%,13.89%
MFNC,"Mackinac Financial",NASDAQ,25.99%,61.01%,17.03,54.08%,51.40%
MHH,"Mastech Holdings Inc",AMEX,79.00%,98.80%,17.3,56.42%,9.30%
MIND,"Mitcham Industries Inc",NASDAQ,18.27%,18.27%,3.65,43.07%,56.91%
MITL,"Mitel Networks Corp",NASDAQ,53.99%,18.90%,11.01,59.01%,35.71%
MIXT,"Mix Telematics Ltd",NYSE,117.40%,158.37%,17.35,42.38%,94.09%
MJCO,Majesco,AMEX,51.95%,64.44%,7.47,71.50%,0.00%
MNOV,"Medicinova Inc",NASDAQ,73.36%,153.67%,8.97,50.33%,45.74%
MNTX,"Manitex Intl Inc",NASDAQ,78.90%,105.49%,12.5,53.69%,33.78%
MODN,"Model N Inc",NYSE,49.43%,66.24%,19.25,61.19%,19.44%
MOTS,"Motus Gi Holdings Inc.",NASDAQ,74.66%,74.66%,7.42,54.17%,71.05%
MPX,"Marine Products Corp",NYSE,26.61%,211.00%,19.37,70.81%,11.36%
MRSN,"Mersana Therapeutics Inc",NASDAQ,13.00%,14.21%,16.46,45.61%,75.15%
MSN,"Emerson Radio Corp",AMEX,11.45%,28.07%,1.45,48.03%,55.56%
MSON,"Misonix Inc",NASDAQ,63.80%,49.16%,13.5,59.24%,18.75%
MTBC,"Medical Transc Bl",NASDAQ,258.87%,141.85%,4.77,77.15%,13.14%
MTFB,"Motif Bio Plc",NASDAQ,14.50%,61.00%,8.6,46.49%,67.74%
MTR,"Mesa Royalty Trust",NYSE,27.27%,17.32%,14.33,39.73%,81.33%
MVBF,"Mvb Financial Corp",NASDAQ,33.43%,23.23%,17.64,43.03%,37.08%
MVO,"Mv Oil Trust",NYSE,91.36%,43.71%,10.77,55.29%,58.54%
MXC,"Mexco Energy Corp",AMEX,20.00%,93.55%,5.71,49.91%,88.24%
NCS,"NCI Building Systems",NYSE,17.61%,49.46%,18.15,34.58%,97.80%
NEO,"Neogenomics Inc",NASDAQ,52.40%,111.52%,13.81,61.75%,49.69%
NEPT,"Neptune Tech",NASDAQ,274.39%,129.10%,3.05,49.74%,87.04%
NESR,"National Energy Services Reunited Corp",NASDAQ,13.82%,14.30%,10.79,57.81%,30.97%
NEWA,"Newater Technology Inc Ordinary Shares",NASDAQ,129.45%,129.45%,19.8,53.73%,62.64%
NFEC,"NF Energy Saving Cor",NASDAQ,252.27%,103.95%,3.4,56.84%,11.50%
NL,"NL Industries",NYSE,11.33%,18.61%,8.45,43.61%,85.19%
NMIH,"Nmi Holdings Cmn A",NASDAQ,51.71%,122.99%,18.65,64.68%,2.70%
NOA,"North American Energy Partners",NYSE,40.70%,176.26%,6.1,52.46%,16.67%
NOMD,"Nomad Foods Limited Ordinary Sh",NYSE,32.21%,52.52%,19.1,57.09%,48.63%
NR,"Newpark Resources",NYSE,31.08%,33.24%,9.6,38.98%,95.35%
NRZ,"New Residential Investment Corp",NYSE,16.93%,17.23%,18.35,57.16%,28.68%
NSEC,"Natl Security Gp I",NASDAQ,14.57%,12.28%,16.28,52.40%,41.67%
NSSC,"Napco Sec Tech Inc",NASDAQ,80.87%,180.51%,16.5,66.57%,22.95%
NTWK,"Netsol Tech Inc",NASDAQ,35.71%,14.00%,5.7,51.59%,55.56%
NVTR,"Nuvectra Corp Cmn ST",NASDAQ,31.29%,120.05%,15.07,36.55%,90.88%
NWBI,"Northwest Bancshares",NASDAQ,14.77%,37.28%,17.66,52.04%,62.43%
NWPX,"Northwest Pipe Co",NASDAQ,21.75%,10.62%,19.34,41.57%,87.17%
NWY,"New York & Company",NYSE,260.56%,100.78%,5,61.11%,28.63%
OBAS,"Optibase Ltd",NASDAQ,11.38%,20.62%,8.76,50.41%,69.41%
OBSV,"Obseva Sa Ordinary Shares",NASDAQ,85.23%,32.45%,15.91,57.22%,19.77%
OFG,"Oriental Financial Group",NYSE,52.04%,57.01%,15.15,61.11%,17.54%
OMEX,"Odyssey Marine Expl",NASDAQ,94.33%,56.55%,7.9,46.05%,69.01%
OMP,"Oasis Midstream Partners LP",NYSE,14.27%,14.27%,19.49,57.67%,37.55%
ONB,"Old National Bncp",NASDAQ,11.57%,28.50%,19,56.18%,38.89%
ONCY,"Oncolytics Biotech Inc",NASDAQ,31.52%,62.67%,5.25,42.14%,70.25%
OOMA,"Ooma Inc",NYSE,94.01%,55.77%,15.9,65.75%,12.94%
OPBK,"Open Bank",NASDAQ,66.08%,122.37%,12.93,50.89%,59.39%
OPNT,"Opiant Pharmaceuticals Inc",NASDAQ,59.69%,116.25%,14.35,44.83%,68.00%
OPRX,"Optimizerx Corp",NASDAQ,356.52%,356.52%,10.48,81.55%,48.10%
ORGS,"Orgenesis Inc",NASDAQ,26.76%,53.03%,7.77,36.54%,100.00%
ORN,"Orion Group Holdings Inc",NYSE,23.01%,22.18%,9.21,70.23%,16.97%
OSBC,"Old Second Bancorp",NASDAQ,25.00%,123.15%,14.75,48.47%,68.00%
OTEL,"Otelco Cl A",NASDAQ,95.42%,228.57%,14.85,48.90%,50.00%
PAR,"Par Technology Corp",NYSE,106.90%,277.36%,18.57,66.12%,3.79%
PBBI,"Pb Bancorp Inc",NASDAQ,15.31%,33.89%,12,66.18%,16.67%
PBIP,"Prudential Bancorp",NASDAQ,14.07%,28.94%,19.31,55.08%,35.22%
PBR,"Petroleo Brasileiro S.A. Petrobras",NYSE,27.74%,46.33%,10.73,47.59%,15.01%
PBR.A,"Petroleo Brasileiro S.A. Petrobras",NYSE,16.00%,39.91%,9.36,47.92%,11.64%
PCOM,"Points Intl Ltd",NASDAQ,104.48%,62.87%,17.11,63.10%,51.70%
PCSB,"Pcsb Financial Corp",NASDAQ,14.19%,19.26%,19.75,44.43%,74.75%
